x,source_ratio,types_found,unresolved_types,rejected_types,candidate_count
  7.93750000E+01,  7.71105413E-01,4,3,0,1
  8.07500000E+01,  7.71105413E-01,4,3,0,1
  8.21250000E+01,  7.71105413E-01,4,3,0,1
  8.35000000E+01,  7.71105413E-01,4,3,0,1
  8.48750000E+01,  7.71105413E-01,4,3,0,1
  8.62500000E+01,  7.71105413E-01,4,3,0,1
  8.76250000E+01,  7.71105413E-01,4,3,0,1
  8.90000000E+01,  7.71105413E-01,4,3,0,1
  1.00000000E+00,  8.59309649E-01,0,3,4,0
  2.37500000E+00,  8.59309649E-01,0,3,4,0
  3.75000000E+00,  8.59309649E-01,0,3,4,0
  5.12500000E+00,  8.59309649E-01,4,3,0,1
  6.50000000E+00,  8.59309649E-01,4,3,0,1
  7.87500000E+00,  8.59309649E-01,4,3,0,1
  9.25000000E+00,  8.59309649E-01,4,3,0,1
  1.06250000E+01,  8.59309649E-01,4,3,0,1
  1.20000000E+01,  8.59309649E-01,4,3,0,1
  1.33750000E+01,  8.59309649E-01,4,3,0,1
  1.47500000E+01,  8.59309649E-01,4,3,0,1
  1.61250000E+01,  8.59309649E-01,4,3,0,1
  1.75000000E+01,  8.59309649E-01,4,3,0,1
  1.88750000E+01,  8.59309649E-01,4,3,0,1
  2.02500000E+01,  8.59309649E-01,4,3,0,1
  2.16250000E+01,  8.59309649E-01,4,3,0,1
  2.30000000E+01,  8.59309649E-01,4,3,0,1
  2.43750000E+01,  8.59309649E-01,4,3,0,1
  2.57500000E+01,  8.59309649E-01,4,3,0,1
  2.71250000E+01,  8.59309649E-01,4,3,0,1
  2.85000000E+01,  8.59309649E-01,4,3,0,1
  2.98750000E+01,  8.59309649E-01,4,3,0,1
  3.12500000E+01,  8.59309649E-01,4,3,0,1
  3.26250000E+01,  8.59309649E-01,4,3,0,1
  3.40000000E+01,  8.59309649E-01,4,3,0,1
  3.53750000E+01,  8.59309649E-01,4,3,0,1
  3.67500000E+01,  8.59309649E-01,4,3,0,1
  3.81250000E+01,  8.59309649E-01,4,3,0,1
  3.95000000E+01,  8.59309649E-01,4,3,0,1
  4.08750000E+01,  8.59309649E-01,4,3,0,1
  4.22500000E+01,  8.59309649E-01,4,3,0,1
  4.36250000E+01,  8.59309649E-01,4,3,0,1
  4.50000000E+01,  8.59309649E-01,4,3,0,1
  4.63750000E+01,  8.59309649E-01,4,3,0,1
  4.77500000E+01,  8.59309649E-01,4,3,0,1
  4.91250000E+01,  8.59309649E-01,4,3,0,1
  5.05000000E+01,  8.59309649E-01,4,3,0,1
  5.18750000E+01,  8.59309649E-01,4,3,0,1
  5.32500000E+01,  8.59309649E-01,4,3,0,1
  5.46250000E+01,  8.59309649E-01,4,3,0,1
  5.60000000E+01,  8.59309649E-01,4,3,0,1
  5.73750000E+01,  8.59309649E-01,4,3,0,1
  5.87500000E+01,  8.59309649E-01,4,3,0,1
  6.01250000E+01,  8.59309649E-01,4,3,0,1
  6.15000000E+01,  8.59309649E-01,4,3,0,1
  6.28750000E+01,  8.59309649E-01,4,3,0,1
  6.42500000E+01,  8.59309649E-01,4,3,0,1
  6.56250000E+01,  8.59309649E-01,4,3,0,1
  6.70000000E+01,  8.59309649E-01,4,3,0,1
  6.83750000E+01,  8.59309649E-01,4,3,0,1
  6.97500000E+01,  8.59309649E-01,4,3,0,1
  7.11250000E+01,  8.59309649E-01,4,3,0,1
  7.25000000E+01,  8.59309649E-01,4,3,0,1
  7.38750000E+01,  8.59309649E-01,4,3,0,1
  7.52500000E+01,  8.59309649E-01,4,3,0,1
  7.66250000E+01,  8.59309649E-01,4,3,0,1
  7.80000000E+01,  8.59309649E-01,4,3,0,1
  7.93750000E+01,  8.59309649E-01,4,3,0,1
  8.07500000E+01,  8.59309649E-01,2,5,0,1
  8.21250000E+01,  8.59309649E-01,2,5,0,1
  8.35000000E+01,  8.59309649E-01,2,5,0,1
  8.48750000E+01,  8.59309649E-01,2,5,0,1
  8.62500000E+01,  8.59309649E-01,2,5,0,1
  8.76250000E+01,  8.59309649E-01,2,5,0,1
  8.90000000E+01,  8.59309649E-01,2,5,0,1
  1.00000000E+00,  9.57603281E-01,0,3,4,0
  2.37500000E+00,  9.57603281E-01,0,3,4,0
  3.75000000E+00,  9.57603281E-01,0,3,4,0
  5.12500000E+00,  9.57603281E-01,4,3,0,1
  6.50000000E+00,  9.57603281E-01,4,3,0,1
  7.87500000E+00,  9.57603281E-01,4,3,0,1
  9.25000000E+00,  9.57603281E-01,4,3,0,1
  1.06250000E+01,  9.57603281E-01,4,3,0,1
  1.20000000E+01,  9.57603281E-01,4,3,0,1
  1.33750000E+01,  9.57603281E-01,4,3,0,1
  1.47500000E+01,  9.57603281E-01,4,3,0,1
  1.61250000E+01,  9.57603281E-01,4,3,0,1
  1.75000000E+01,  9.57603281E-01,4,3,0,1
  1.88750000E+01,  9.57603281E-01,4,3,0,1
  2.02500000E+01,  9.57603281E-01,4,3,0,1
  2.16250000E+01,  9.57603281E-01,4,3,0,1
  2.30000000E+01,  9.57603281E-01,4,3,0,1
  2.43750000E+01,  9.57603281E-01,4,3,0,1
  2.57500000E+01,  9.57603281E-01,4,3,0,1
  2.71250000E+01,  9.57603281E-01,4,3,0,1
  2.85000000E+01,  9.57603281E-01,4,3,0,1
  2.98750000E+01,  9.57603281E-01,4,3,0,1
  3.12500000E+01,  9.57603281E-01,4,3,0,1
  3.26250000E+01,  9.57603281E-01,4,3,0,1
  3.40000000E+01,  9.57603281E-01,4,3,0,1
  3.53750000E+01,  9.57603281E-01,4,3,0,1
  3.67500000E+01,  9.57603281E-01,4,3,0,1
  3.81250000E+01,  9.57603281E-01,4,3,0,1
  3.95000000E+01,  9.57603281E-01,4,3,0,1
  4.08750000E+01,  9.57603281E-01,4,3,0,1
  4.22500000E+01,  9.57603281E-01,4,3,0,1
  4.36250000E+01,  9.57603281E-01,4,3,0,1
  4.50000000E+01,  9.57603281E-01,4,3,0,1
  4.63750000E+01,  9.57603281E-01,4,3,0,1
  4.77500000E+01,  9.57603281E-01,4,3,0,1
  4.91250000E+01,  9.57603281E-01,4,3,0,1
  5.05000000E+01,  9.57603281E-01,4,3,0,1
  5.18750000E+01,  9.57603281E-01,4,3,0,1
  5.32500000E+01,  9.57603281E-01,4,3,0,1
  5.46250000E+01,  9.57603281E-01,4,3,0,1
  5.60000000E+01,  9.57603281E-01,4,3,0,1
  5.73750000E+01,  9.57603281E-01,4,3,0,1
  5.87500000E+01,  9.57603281E-01,4,3,0,1
  6.01250000E+01,  9.57603281E-01,4,3,0,1
  6.15000000E+01,  9.57603281E-01,4,3,0,1
  6.28750000E+01,  9.57603281E-01,4,3,0,1
  6.42500000E+01,  9.57603281E-01,4,3,0,1
  6.56250000E+01,  9.57603281E-01,4,3,0,1
  6.70000000E+01,  9.57603281E-01,2,5,0,1
  6.83750000E+01,  9.57603281E-01,6,1,0,2
  6.97500000E+01,  9.57603281E-01,6,1,0,2
  7.11250000E+01,  9.57603281E-01,3,4,0,2
  7.25000000E+01,  9.57603281E-01,3,4,0,2
  7.38750000E+01,  9.57603281E-01,3,4,0,2
  7.52500000E+01,  9.57603281E-01,3,4,0,2
  7.66250000E+01,  9.57603281E-01,3,4,0,2
  7.80000000E+01,  9.57603281E-01,3,4,0,2
  7.93750000E+01,  9.57603281E-01,3,4,0,2
  8.07500000E+01,  9.57603281E-01,3,4,0,2
  8.21250000E+01,  9.57603281E-01,3,4,0,2
  8.35000000E+01,  9.57603281E-01,3,4,0,2
  8.48750000E+01,  9.57603281E-01,3,4,0,2
  8.62500000E+01,  9.57603281E-01,3,4,0,2
  8.76250000E+01,  9.57603281E-01,3,4,0,2
  8.90000000E+01,  9.57603281E-01,3,4,0,2
  1.00000000E+00,  1.06714040E+00,0,3,4,0
  2.37500000E+00,  1.06714040E+00,0,3,4,0
  3.75000000E+00,  1.06714040E+00,0,3,4,0
  5.12500000E+00,  1.06714040E+00,4,3,0,1
  6.50000000E+00,  1.06714040E+00,4,3,0,1
  7.87500000E+00,  1.06714040E+00,4,3,0,1
  9.25000000E+00,  1.06714040E+00,4,3,0,1
  1.06250000E+01,  1.06714040E+00,4,3,0,1
  1.20000000E+01,  1.06714040E+00,4,3,0,1
  1.33750000E+01,  1.06714040E+00,4,3,0,1
  1.47500000E+01,  1.06714040E+00,4,3,0,1
  1.61250000E+01,  1.06714040E+00,4,3,0,1
  1.75000000E+01,  1.06714040E+00,4,3,0,1
  1.88750000E+01,  1.06714040E+00,4,3,0,1
  2.02500000E+01,  1.06714040E+00,4,3,0,1
  2.16250000E+01,  1.06714040E+00,4,3,0,1
  2.30000000E+01,  1.06714040E+00,4,3,0,1
  2.43750000E+01,  1.06714040E+00,4,3,0,1
  2.57500000E+01,  1.06714040E+00,4,3,0,1
  2.71250000E+01,  1.06714040E+00,4,3,0,1
  2.85000000E+01,  1.06714040E+00,4,3,0,1
  2.98750000E+01,  1.06714040E+00,4,3,0,1
  3.12500000E+01,  1.06714040E+00,4,3,0,1
  3.26250000E+01,  1.06714040E+00,4,3,0,1
  3.40000000E+01,  1.06714040E+00,4,3,0,1
  3.53750000E+01,  1.06714040E+00,4,3,0,1
  3.67500000E+01,  1.06714040E+00,4,3,0,1
  3.81250000E+01,  1.06714040E+00,4,3,0,1
  3.95000000E+01,  1.06714040E+00,4,3,0,1
  4.08750000E+01,  1.06714040E+00,4,3,0,1
  4.22500000E+01,  1.06714040E+00,4,3,0,1
  4.36250000E+01,  1.06714040E+00,4,3,0,1
  4.50000000E+01,  1.06714040E+00,4,3,0,1
  4.63750000E+01,  1.06714040E+00,4,3,0,1
  4.77500000E+01,  1.06714040E+00,4,3,0,1
  4.91250000E+01,  1.06714040E+00,4,3,0,1
  5.05000000E+01,  1.06714040E+00,4,3,0,1
  5.18750000E+01,  1.06714040E+00,4,3,0,1
  5.32500000E+01,  1.06714040E+00,4,3,0,1
  5.46250000E+01,  1.06714040E+00,4,3,0,1
